alt;become frozen
cts̓éwem;washing dishes
ctsík̓wsem;peeping through a keyhole, crack
ctsíle;putting a child in a cradle
ctsíllen̓ten;larder (food storage) E refrigerator.
ctsíp'sem,-mens;wink
ctsípwen;root cellar
ctsípwenten;root cellar
ctsíqem;digging a pit
ctsítcwten̓;dwellings of people  also, the underground nests of smaller animals.
ctsits̓éyne;ringing in the  ears
cts̓íxwelcten;spawning grounds
ctskékllts̓e7ten;adze
ctskéllts̓e;boat or stg. is notched out with a chopping instrument.
ctskéllts̓ens;he hollowed it out
ctskéllts̓entem;digging out a canoe
ctskem;hollowed out the tree/wood
ctsk̓éne,  sectsk̓éne;ear wax
ctskentés;nicked trees to mark the way
ctsk̓éxen,  tsectsectsk̓éxen;body, armpit odor
ctskúsem;pulling back on the reins
ctskúsens;pulling back on the reins
ctskwén̓sem;pulling out  teeth
ctskwén̓sens;pulling out  teeth
ctskwílten;ammo pouch, quiver, arrow container.
ctskwílten  W,  cláy̓peten  N;casing of bullet
cts̓lemcétkwe;snag in the water
cts̓lem;placing (fishtrap) in the water
cts̓lentés;he placing (fishtrap) in the water
cts̓lén̓kcen, tsects̓lénkcen;cork boots (with spikes)
cts̓líken;fish trap
cts̓lúsem̓;putting stg. on window/fire
cts̓lúsens;he putting stg. on window/fire
ctsmep;sick to the stomache from eating rich food
ctsmin̓,csetsmín̓;coffin
cts̓nósem,-cts;aiming with one eye shut
cts̓nósem;shutting an eye when taking aim
cts̓o7t;leak in the roof,E  soaked through
ctspétkwe7ten;gillnet
ctspétkwem;setting a gillnet
ctspétkwens;setting a gillnet
ctsqél̓sem;setting fish weirs in the water
ctsqél̓sens;setting fish weirs in the water
ctsq̓emnétkwem;throwing stg. into water
ctsqen̓tét.s;roasting stg. in the oven
ctsqéqem̓,ctsqentét.s;put stg. in the oven
ctsqéq̓llts̓em̓;hitting an object from the inside
ctsqéq̓llts̓ens;he hitting an object from the inside
ctsqéqpten;saucer
ctsqétkwem;placing stg. in the water,  launching a canoe etc.
ctsqétkwens;placing stg. in the water,  launching a canoe etc.
cts̓qú7eten,ts̓qú7eten;pipe for smoking
cts̓qú7etn,cts̓qú7ten;pipe for smoking
ctsqweqwyetém̓;rust on inside of stg.
ctsqwétkwe;gold nuggets/dust in creek
ctsrem̓,-en̓tés;getting the sweatlodge ready for  a sweat
ctsúl̓eten;usual behavior
ctsuqwén̓k;red sky
ctsúyqnem;hanging the head
cts̓wenkéllcw;washing walls
ctswilc;make up one's mind, do as one pleases
ctswiwéy̓ten;graveyard
ctswúlecw;kneading dough ***
ctswum,-entés  ***;to hint, suggest to,to bewitch,to train (a child).
ctukwtsín;small fire with some sparks
ctuméllcw;store, shop
ct̓úpmen̓;wooden bar nailed securely against a wall used to ring out hides before stringing up on a rack.
ct̓úpsens;wrung someone's neck
ctuxwtéxwsem̓;fishing with a set line
ct̓wel̓q;caved in of dwelling
ctxum;broke/trained an animal
ctxwénem;correct previous information
ctxwénens;correct previous information
ctxwéne;receive corrected verbal information
ctxwentés;tamed a wild animal
ctxwentsút;trained oneself
ct̓yé7ten;meadow, manger
ct̓yélpem;fated, predestined
ctyém̓usten;horses ridden, mounts
cú7tsem;again, more
cucéwt;rushing/swishing by of wind or birds
cucutsném;whistling a tune
cucwíwt;rushing with the speed of  wind
cúkwem;pulling stg. out of a pile or package
cúlem;rubbing to spark a fire
cúlens;rubbing to spark a fire
culentáke7;See  c. q̓elentáke7. ***
cúlent;withdrawing from an epidemic
culepsáke7;See  c. q̓elepsáke7. ***
cúlke;drill,fan/drill to start a fire
cúlk̓wem;fold, roll up, wrap.
cúlk̓wens;fold, roll up, wrap.
cúllem;gather fluffy material for pillow stuffing
cúllens;gather fluffy material for pillow stuffing
cullt;pollen rises into the air, fluffy material sheds etc.
culp,  cúlekp;matches, fire starter
cult;burn from hot liquid steam
cúltsnem;fanning a fire
cum;at all
cúp̓em;shape wood into a hoop.
cúp̓ens;shape wood into a hoop.
cúscwest;plentiful, frightening, scary
cúsen̓s;s/he livened up the crowd, energized
cút̓cnem;took off shoes
cút̓cnens;took off shoes
cuts̓éqsens,  cwéts̓qsens;lifted one end of stg.
cuwentsút;s/he fanned themselves
cuy̓/cwecúy̓;come on!,get a move on!
cúyem;take out articles,ask people to exit a house
cúyens;take out articles,ask people to exit a house
cúyens,  necúy̓ens;empty out (as handbag)
cuyt;exit
cw7al;in a hurry
cw7ekw;become light of weight
c.w7el;tilted
cw7em;pouting, disinterested
cw7éqsens;lifted one end of stg.
cw7éwsem;carry a child in one's arms, holding someone on your lap
cw7éwsens;carry a child in one's arms, holding someone on your lap
cw7im;lifting
cw7it;plenty, lots,  many
cw7us;throngs of people rushing about
cwast;tasteless
cwe7llsúp̓;out of breath
cwe7llxqút̓em;heavy smoker
cwe7sqlél̓;rich
c.wecsqéxe7ten;range, corral wherever horses are left to graze
c.wectén̓;usual abode
cwecuwéll;road
cwecuwéwll;trail
cwecúy̓;come on!
cwecw7ú7cw;mint Mentha sp.
cwecwe7ts̓úsem̓;showing off  with stg.
cwecwe7ts̓úsens;he showing off  with stg.
cwecwélk̓;rolling down the mountain (as log).
cwecwéllent;heaveing a deep sigh
cwecwelpúsem;looking in all directions
cwecwemtsín;nostalgic song/tune/sound
cwecwemtsném;singing a nostalgic song
cwecwescén;traveller
cwecwlé7;meadowlark
c.wecwtén̓;place of activity of people or animals
cwecwyéwt;absent  1,  credit  11
cwecwyéwtct.s;invoicing purchases
cwecwyéyut;loan, credit oweing
cwek̓méllcw,  necwek̓méllcw;drying shed
cwekwcwékw;light of weight
c.wék̓wens;s/he made a pit.
c.wék̓wle7cwem;digging a pit for cooking
c.welám,-entás;burned the inside of...
c.welán̓kem;putting kindling in a stove to make a fire
c.welán̓kens;putting kindling in a stove to make a fire
c.welán̓kten;kindling
cwelán̓kten, xgwelán̓kten;kindling
cwelcwélt;in good health
cwelcwlékwem;whirlwind
cwélem;opening a ditch or divert water
cwélens;opening a ditch or divert water
cwélemt;water diverts from a ditch on its own
c.wélens;s/he tilted it
c.welentáke7;piece of pitchwood to start fire  (D l) .
c.welepsáke7;horn spoon
cwellcúll;powdery
c.wél̓lemten;fishing spot
cwellq̓ílcw;?
c.wellqwmín̓;pot
cwellsúp̓,  necwetpsúp̓;out of breath
cwellsúp̓;person is out of breath
cwellyé7 (also í);soon
cwelpentés;turn stg./someone around
cwelpilc;turned around (of a person)
c.welptém̓,  c.weltém̓,;bottom of pan/pot is scorched
c.welptém̓;pot  is burned on the inside
cwelqínem;diverting water in an irrigation ditch
c.welqín̓em;lighting a cigarette
cwelstám,-ás;doing a rush job
cwemcúmt;is lonely
cwemcwém;lonely
cwém̓cwemt;it is lonely
cwemcwémt;lonely (place) Do .
cwem̓cwem̓tsín;singing a nostalgic song
cwém̓cwemt  W,  cúm̓cwemt D;lonely
cwém̓cwemt, xá7xat;lonely, nostalgic
cwempmíns;lonesome for sb.
c.wením;up early
cwentés;s/he lifted ...
c.wenwením;up early
c.wén̓wen;morning
cwépens;s/he unfolded...
c.wepéxen;hairy armpits
cwept;unfolded, become opened up.
c.wepúlecwem;weeds are growing
cwescwescsén̓;always traveling about on foot
cwescwestsín̓;s/he is a gossip
c.wesesílc;rushing about
c.wesesílc;rushing about(sing.)
cwesetelcemúcw;person always traveling.
cwesetúy̓e;step out, go out (for pleasure).
cwesét;walking about (plur.),  traveling (plur.)
cwetcén;many tracks
cwetcút̓cnem;took off  shoes
cwetcwét̓t;clean-appearing (as after sweatbath).
c.wetk̓élenkcnem;tripping in wrestling
cwetpép;ended
cwetpép;finished
cwetpéqs;dead end
cwetpéqs;dead end
cwetpstés;s/he finished a chore
cwets̓ékstem,-mens;reaching  out for...
c.wets̓él̓s;broke in half
c.wets̓él̓sem;cutting/chopping in half when butchering /building stg.
c.wets̓él̓sens;cutting/chopping in half when butchering /building stg.
c.wéts̓em;breaking bones of an animal to extract marrow  l.
c.wéts̓ens;breaking bones of an animal to extract marrow  l.
cwets̓éqs;one end of stg. lifts up accidently
cwets̓esen̓tsút;showed off
cwetsín;talkative
cwets̓qsyúle7ten;teeter-totter
cwetúsem;crowd of people, different tribes
cwéyem;disappear
c.wéyem, -emens);barking, barking at
c.weyénemens;hear of, get informed about stg.
cweyentsút;throw up (sick to the stomache)
cwicúy̓t;moving out of the winter home
cwicwyém;gnawing of rodents
cwicwyém;woodworms gnawing through wood
cwík̓em;drying salmon
cwík̓ens;drying salmon
cwik̓méllcw;drying shack for salmon
cwík̓men̓,  necwík̓men̓;drying rack for salmon
cwíl̓ke;a whistle
cwíselc;ran
c.wíselc;run,  E to jump.
c.wísenk;high hillside
cwít̓em;cutting up cloth/buckskin  etc.
cwít̓ens;cutting up cloth/buckskin  etc.
cwitétkwe;fall into water, drown (sing.).
cwitétkwe,  necwitétkwe;fall into the water
c.witkwecén̓;one foot slipped into the water
cwits̓ct.s;held up to show stg.
cwíts̓ens;s/he held up stg. to show
cwíwem;whistled
cwíwens;whistled
cwiyéy7e;soon
Cwiyéycwkwe;Kamloops Band, by the KIRS
cwkwelátkwe;beaver and moose food
cwkweskweswíg̓welt;piglets
cwkwnémten;methods
cwkwnémtns;identifying  mark
cwlap;water has diverted
cwlelc;going through deep snow
cwlem, entés;spinning
cwlep;spinning around
cwmup;lonely
cwmup;s/he is lonely
cwnúsem;nodding, hanging the head
cwp̓elíken;sapling- or counterweight trap with noose.
cwpilc;urinate (of women).
cwpíp̓sem;blooming
cwp̓ísem;let fly (e.g. a branch bent down).
cwp̓ísens;let fly (e.g. a branch bent down).
cwp̓ist;snap loose (as safety pin).
cwsap;took off fast
cwsenwéns;picked up a scent
cwt̓ekst;hunting knife  W,   (table-)knife
cwt̓ekst,  tseckts̓ép;hunting knife
cwtep;reached the end of, come to an end.
cwt̓eyt;floating in the wind
cwtsetsíts.se7t;short (of things)
cwtsín̓ekten;shoulderblade
cwuts̓qíqen̓c;split one end of a stick
cwyé7ens;inviting someone along
cwye7;very soon
cwyemtéllq̓welt;gagging,  coughing
cwyemtéllq̓welt;itchy throat
cyecúm;travel downstream, move to lowlands
cyecwél̓esqen;fontanel
cyécwen̓sten;heater
cyegén̓kcen;rasp for hoofs
cyegén̓kcen;rasp  for hooves
cyeg;lance
cyegméke7;grindmill
cyegmín̓;grinder (any)
cyegténk;walking about the community
cyegwyegwétkwe;strong drink,  whiskey
cyeláp;all around in a circle
cyelcwépens;diapered
cyelcwépten;diaper  E
cyelém;take things without asking
cyelentés;he take things without asking
cyelentáts;putting horses in corral
cyelentsíns;take away sb.'s food
cyéles,-mens;did not bother doing
cyelk̓ménk;go to a hillside
cyél̓men;bucket,  fishing spot where a fish net is used
cyelpéneten;tassels on side of horse's head
cyelpentás;turned stg. around in a complete turn
cyelpstás;completed a the circle of...
cyélten;cupboard
cyelyélten;kitchen cupboard
cyelyéltn,  csyélten;cupboard
cyelyéltn;kitchen cupboard
cyénem;go around an object/thing
cyénemst.s;pass around in a circle of people
cyenmús;go around a turn in a mountain trail/road
cyenp̓épem;to diaper a child, to wear a breech-cloth
cyenp̓épten;diaper,  breech-cloth
cyénwelc;circle overhead as a bird/plane,  to go around and around in circles
cyeq̓ptém̓;stuck inside as residue
cyéqwens;lit a fire in a stove
cyeq̓wén̓s;rotten tooth
cyéqwllten̓,  cyéqwllpten̓;fireplace, stove
cyeqwyéqwllpten;stones used in sweathouse
cyestén̓;camp ground
cyestmíns;staying overnight with sb.
cyestwécw;living in a common law relationship
cyet̓élesem;scrubbing the floor
cyet̓élesens;scrubbing the floor
cyet̓élesten;scrub brush
cyét̓emt;falling off (plur.).
cyetít̓knem̓;scrubbing the back
cyetít̓knens;he scrubbing the back
cyet̓lcqín;descending (plur.)
cyéwem;fetching water
cyéwne,-mens;tired of  listening to someone speak
cyéynwelc;Deadman's Creek
cyeyutsín;talking excessively and is irritating to listen to
cyuméws;place where water is fetched from,waterhole in ice
cyumín̓;stone corral for salmon
cyúsu7sqnem;tie hair in a tuft on top of the head
cyút̓enkcen;lining of moccasin
e7enwéns;she said several things to him
e7llq;digging  root foods
e7útsqe;to go to the toilet.
ec;he/she/it does
ecwt;snowslide
egwt;howling of several canine
egwtúlecw;"a kind of wild dog".
ék̓wen;fish roe
el7álk̓wt;bones are acheing
elá7;move aside, get out of the way!
elá7st.s;taking stg. out of the way,to teach avoidance.
elkéllp;kinnikinnick bush, bearberry, Indian tobacco Arctostaphylos uva-ursi.
elk;kinnikinnick berry
élksens;she worked on it
elkst;work
élk̓wem;put away, store,  buried it
élk̓wens;put away, store,  buried it
elk̓wpálcken;rheumatism
elk̓wstsíllnem;storing  food
ell;and, too
ellcwcén;tracks run into a den
elúcwe7;trigger of a trap
el;what in *#0) is that!   ???
emétens;she identified it, she named it
emetép;she sat under a tree
emetúlecwens;mentioned the place name
emts7úy;great-grandchild
emút;sat down
en7ánk̓wtem;rheumatic pains
e nén̓ses,  tetéten̓;in a little while
éne;this, here
enícwell;how frightening!
enk̓wálcken;rheumatism has affected the body
enwéns;what did she say to him?
enwét;what did he say?
enwí7,  newí7;yourself
ep(e)léhu;canvas over load on wagon.  ???
ép̓em;wipe
e petkúsentsen;excuse me as I go in front of you
ep̓t;squeezed of berries
ep̓xw;choking on bones
eq̓wyéws;brothers, sisters or cousins of the same sex
e  s-;he/she/it/I  will do/go somewhere or do stg.
esk̓ét;Alkali Lake Reserve
est7exték;fit perfectly
est̓ás;splashing sound as a wet towel hitting stg.
estcéw;swishing  by of birds, kites etc.
estcéy;stopped
estclle7íken;he fell on his back
estcpeg̓éqs;arriving to find that what one came for is gone, E  coming to a dead end.
estcpgép;suddenly became empty,E  stepping into a hole (unexpectedly).
estcrepél̓s;suddenly  back on the road
estcsíts;"so that it is tight".  ???
estctet̓e7pús;black out
estctet̓e7pús;suddenly blacking out
estcucwíw;wind howls through the trees
estcwél,  E  -én̓;smells, stinks
estcwép;suddenly burst open
estcwetscwts̓ép E  estcwets̓epcén̓;a bench or teeter-totter suddenly lifts up on one side.
estcwéy̓;disappear,  missing
estcwéy̓;disappear
estcwi7stés;she suddenly missed the article.
est̓ék;suddenly becoming lodged into stg. as a spear or dart.
estekts̓lúcw;landing on one's feet  on top of stg.
est̓elcén;stop walking
estelpúcw;pierced, gone right through stg.
estemk̓wém̓;waluks card game
estem̓tétkwe;suddenly fell into the water and landed on his seat.
estemtúk̓w;hour after noon,released, come off
est̓epéq;was muddied, became sticky with glue,flour mixture was dropped onto a floor etc.
est̓éq;pierced into or through
estíkw;sparks light into small flame
estiláp;has finished a race around in a circle,has come full circle.
est̓íl;stop, quit
estk̓é7;falling down completely
estkecstés;he knocked someone over, he fell with someone in his arms.
estkellép;suddenly came off,removed completely
estkelúcw;there was a loud thump
estkenkíken̓;slightly intoxicated
estken̓stés;she touched it momentarily
estkesép;fast moving and almost out of sight
estkesép,  kesép;traveled out of sight in an instant
estkets̓éscen;has hit a rock (of spear stuck in water)
estkéts;jumping and landing lightly on your feet
estkets̓útem̓;horse turns flank to rider (to facilitate mounting).
estk̓éy̓;a group or crowd has disappeared
estkíc;falling down
estkín̓;touched briefly
estkíts̓;meet an obstruction (about a piercing object).???
estk̓lléq;grazed, nicked by an arrow or bullet
estkustés   I.;choking on stg.,taking stg. too far, beyond goal.
estk̓wellkíc;fell under
estkwés;sun has set
estkwyém;hustle and bustle of many people
estlegúp;disappeared, out of sight a moment ago
estlerép;stuck in the ground or tree
estllekákst;splashed  on the arm
estllell.llólt;soaking wet
estllemúk̓w, estenllemúk̓w;dropping stg into stg. else  ie: a needle in a haystack,disappearing into a crowd.
estllepék;fell into the snow
estlleqép;suddenly become adhered to
estlleqép;thin sheet of paper or object suddenly sticks to or is flush with stg. ie: a window,a door has suddenly shut
estllewéq;loosening and falling from (as plaster from wall),(door) flies open.
estllúgw;suddenly show s up, becomes known
estlluqtsín̓;suddenly flies open ie: door, lid of box
est̓lstés, est̓elstés;he has stopped it/stg.
estmél(c)  (E  élc)  ???;to appear briefly, allow a glimpse to be caught of one.
estmík, estmimyéq;suddenly falling to one's knees
estmyéq;to get one's knee twisted.  ???
estnegwnígw;drained of all energy
estollolléq;sorry or sad
estp̓él;fluid level reaches brim of vessel
estp̓en̓llexwcén;tracks run out of the den, out of the house.
estp̓en̓lléxw;exited, went outside
estpeq̓wstés;knock out another by a sudden blow  to the head.
estpeték;passed right by at high speed
estpík̓w;chips of wood or metal flies off of
estpúll;landed into the water with a splash
estpúq̓w;suddenly being knocked out by a bump on the head.
estqellép;sick person's health improves slightly
estqellqellép;group of people disheartened are cheered up by others  visiting, by well wishes etc.
estqelúcw;thumping aginst stg.
estqets̓stés;she made her jump with fright
estqipstés,  qipstés;frightened/scared someone or stg.
estqipstés;startled, frightened another
estq̓ís;rippling water, rippling effect
estqíts̓;in a flash, unexpectedly doing something
estqiyép, estqyép;he was suddenly surprised by another
estqiyép,  qyep;startled
estqúy;dust rises suddenly
estqw;cedar Thuja plicata
estq̓wé7;she burped loudly
estq̓wég;health is failing,stg. comes down in price
estqwegq̓wég;disappointed, disgusted  ???
estqweqwistés;embarrassed another
